ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
154,12;296,02;216,58;1185,58;120,71;211,39;150,00;316,67
152,69;326,90;225,66;1147,89;118,81;202,73;156,25;371,43
154,50;319,35;223,19;1110,76;121,90;207,57;158,82;312,50
154,52;313,81;217,80;1188,15;119,02;210,96;160,00;325,00
156,31;329,12;218,86;1184,39;117,19;200,00;158,82;357,14
153,08;321,02;218,40;1125,08;117,90;201,44;144,44;385,71
151,45;299,45;219,87;1182,86;117,22;205,26;153,33;312,50
155,39;319,83;228,80;1149,60;122,44;196,54;156,25;325,00
154,94;331,75;218,16;1122,26;117,27;197,32;162,50;325,00
151,70;309,87;227,51;1192,92;120,31;213,70;162,50;357,14
156,74;331,91;220,52;1187,48;116,03;200,45;166,67;312,50
150,24;327,63;215,17;1122,52;114,05;205,75;152,94;371,43
155,45;313,09;220,38;1210,75;117,22;196,75;156,25;357,14
156,05;319,34;223,08;1182,04;120,43;213,49;147,06;312,50
156,79;316,11;226,70;1144,79;115,52;214,75;144,44;325,00
150,46;317,85;225,20;1163,00;113,99;189,03;150,00;337,50
153,57;318,79;222,26;1191,58;120,18;201,32;150,00;400,00
153,50;326,62;213,14;1148,69;116,14;207,14;152,94;385,71
152,92;324,06;224,76;1134,90;117,17;202,82;164,29;371,43
150,99;317,60;217,38;1153,19;121,60;195,05;142,11;371,43
160,51;341,23;211,31;1205,09;120,72;203,56;138,89;325,00
156,26;317,30;221,68;1126,63;115,15;206,73;147,06;325,00
149,08;334,92;221,67;1210,00;120,68;202,21;150,00;357,14
156,67;330,82;216,64;1177,64;119,53;204,98;152,94;371,43
156,61;317,51;225,89;1139,25;122,98;205,37;135,29;416,67
149,92;324,58;227,08;1170,15;115,76;211,50;156,25;357,14
155,99;331,84;217,31;1186,09;120,85;214,95;150,00;385,71
151,35;315,27;222,17;1130,60;114,29;202,70;166,67;342,86
153,22;319,11;208,39;1170,86;117,07;210,07;144,44;312,50
157,86;334,75;199,52;1170,86;122,77;206,22;156,25;450,00
155,20;318,21;198,56;1166,07;121,89;206,33;166,67;325,00
154,99;314,23;216,61;1150,75;113,35;212,24;147,06;360,00
156,77;335,07;194,89;1185,87;120,92;209,55;152,94;325,00
157,37;331,97;195,92;1194,77;123,83;210,71;150,00;371,43
156,75;317,61;213,02;1150,38;118,86;192,81;136,84;360,00
149,54;329,18;204,20;1170,99;121,07;199,14;150,00;325,00
155,78;332,52;194,97;1149,03;118,75;208,11;150,00;385,71
157,85;321,60;201,00;1136,79;120,36;206,32;136,84;340,00
154,64;318,54;198,54;1201,51;115,96;200,89;152,94;300,00
156,48;315,40;211,26;1218,67;118,14;210,96;156,25;371,43
151,72;326,98;194,25;1148,94;117,07;207,58;144,44;300,00
152,66;315,94;206,30;1157,80;116,87;192,64;138,89;312,50
153,97;330,61;203,43;1243,41;117,12;208,97;153,33;337,50
155,87;313,95;206,76;1162,11;120,63;206,64;147,06;357,14
154,07;321,39;205,01;1182,71;119,45;205,91;152,94;371,43
153,93;344,47;200,64;1161,31;119,29;209,09;147,06;337,50
156,13;332,49;216,11;1149,60;116,56;206,70;150,00;312,50
150,92;319,81;225,44;1123,64;118,48;197,40;142,11;337,50
159,60;337,74;212,90;1156,59;120,13;200,44;171,43;433,33
158,78;333,52;207,24;1185,68;115,31;207,76;144,44;400,00
153,00;307,26;217,97;1119,70;116,47;212,41;144,44;357,14
158,53;337,42;213,22;1200,15;121,17;207,87;156,25;385,71
150,34;336,16;204,53;1167,11;122,07;196,41;152,94;371,43
151,31;309,83;220,89;1131,03;118,04;210,81;150,00;357,14
157,23;322,70;216,80;1148,82;119,76;210,41;150,00;300,00
156,88;329,49;217,85;1203,41;124,55;203,08;147,06;385,71
154,36;315,75;207,14;1138,02;115,27;206,94;138,89;357,14
150,99;329,04;211,39;1149,47;119,82;207,80;162,50;337,50
158,68;310,00;217,06;1166,15;123,96;197,84;180,00;325,00
154,82;304,44;213,57;1194,56;112,09;210,14;144,44;357,14
151,90;323,41;216,19;1102,37;120,37;191,70;144,44;337,50
157,82;327,31;201,67;1178,62;119,69;206,22;150,00;312,50
156,92;315,84;217,22;1164,36;122,76;206,31;136,84;337,50
150,15;319,83;225,72;1144,01;115,02;193,36;162,50;385,71
156,45;319,43;210,99;1179,25;121,94;215,14;163,64;416,67
157,59;327,89;202,42;1205,80;118,83;205,80;144,44;357,14
156,15;316,28;206,86;1088,58;114,29;196,05;162,50;371,43
158,61;308,28;194,46;1160,09;120,97;203,11;161,54;337,50
154,89;318,38;205,08;1170,59;116,08;198,67;144,44;360,00
152,37;322,68;194,79;1203,53;117,18;210,20;162,50;450,00
156,18;315,86;208,44;1161,09;122,94;203,60;166,67;385,71
150,79;320,14;189,57;1124,10;117,94;201,80;138,89;300,00
152,08;330,34;209,00;1177,79;115,48;212,16;162,50;325,00
155,66;321,47;203,99;1147,02;123,58;199,56;166,67;337,50
162,21;315,00;208,87;1188,64;119,11;204,04;144,44;360,00
152,74;333,47;207,46;1215,10;117,48;207,56;144,44;325,00
156,46;328,95;214,17;1153,31;121,47;203,69;141,18;325,00
157,86;309,65;202,01;1147,95;122,97;205,05;141,18;420,00
152,06;326,05;208,81;1240,25;118,29;204,17;144,44;325,00
151,45;333,53;218,30;1164,29;117,02;202,24;150,00;337,50
157,26;322,71;215,87;1146,17;122,18;203,56;166,67;342,86
152,64;323,35;202,63;1211,24;117,79;195,69;173,33;450,00
156,49;329,93;206,36;1124,74;113,31;209,85;156,25;357,14
156,49;313,22;202,42;1201,79;119,49;207,59;147,06;342,86
154,46;320,31;215,11;1211,99;117,47;200,88;152,94;385,71
157,43;330,17;213,87;1167,17;116,27;201,38;162,50;385,71
155,30;316,18;206,46;1199,40;118,63;207,93;152,94;416,67
151,55;331,98;206,49;1180,48;118,63;201,77;144,44;342,86
156,03;321,26;204,41;1185,03;114,77;194,67;138,89;371,43
153,47;339,83;195,93;1159,10;120,73;212,33;147,06;433,33
153,87;320,82;200,96;1169,78;119,73;207,66;173,33;357,14
156,12;323,44;199,03;1206,13;119,15;204,58;160,00;385,71
