mldsa87 - P-521;mldsa87 - kyber1024
107,89;1055,43
104,50;1072,59
107,96;1032,35
104,50;1008,27
106,31;957,36
87,07;1029,55
96,55;986,13
108,00;1008,09
104,46;750,00
105,45;892,39
102,63;893,48
98,23;1031,34
107,14;1061,83
95,50;1051,13
102,65;1018,18
109,01;905,22
85,59;1048,82
92,24;1044,62
100,89;1005,84
93,86;938,97
93,75;1036,09
86,09;963,91
104,50;1011,85
106,00;927,94
112,35;953,38
88,60;1032,76
100,90;1003,77
106,25;1020,00
107,89;937,41
107,27;995,56
101,79;1049,64
90,27;913,87
106,96;950,75
109,01;847,83
93,40;983,70
103,57;1008,09
103,54;1009,29
105,22;980,88
107,96;983,46
107,34;925,19
113,16;971,43
105,15;1008,89
105,26;1036,96
105,26;985,34
106,09;1031,34
110,53;1021,97
110,81;986,92
110,81;964,23
100,00;983,70
91,96;1003,82
105,26;926,62
110,91;978,26
100,89;979,41
100,00;1031,85
104,55;986,47
108,93;973,53
112,50;1003,82
106,45;957,25
106,80;952,59
102,63;907,69
100,89;1022,13
106,25;1017,56
105,45;964,29
95,54;940,30
105,31;1081,06
109,73;1057,14
106,14;999,24
110,81;984,85
101,74;1026,52
106,19;998,59
106,25;1046,62
110,91;1005,93
110,53;962,41
109,82;884,62
109,09;1041,04
85,84;962,50
97,35;872,00
106,36;871,01
106,19;971,11
107,89;1024,44
115,45;1068,94
112,61;1034,07
105,22;995,56
110,81;1035,11
104,31;1125,58
85,83;1047,79
104,46;1055,40
100,00;1069,85
104,39;1031,34
109,91;989,71
110,00;1043,51
108,33;1050,37
105,97;1025,37
105,41;1018,75
91,74;1047,44
102,65;956,12
111,82;989,71
116,04;972,18
104,35;1012,50
107,89;1101,49
