ed448,P-521,,ed448,kyber1024,,dilithium5,P-521,,dilithium5,kyber1024,,falcon1024,P-521,,falcon1024,kyber1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,kyber1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,kyber1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
24,"0,26","92,31",27,"0,06","450,00",25,"0,25","100,00",24,"0,05","480,00",23,"0,30","76,67",27,"0,04","675,00",18,"0,31","58,06",16,"0,31","51,61",11,"0,17","64,71",12,"0,05","240,00"
21,"0,23","91,30",25,"0,07","357,14",26,"0,27","96,30",26,"0,05","520,00",25,"0,38","65,79",26,"0,07","371,43",17,"0,33","51,52",16,"0,29","55,17",13,"0,20","65,00",13,"0,08","162,50"
26,"0,28","92,86",27,"0,06","450,00",26,"0,28","92,86",27,"0,05","540,00",25,"0,29","86,21",27,"0,06","450,00",17,"0,28","60,71",18,"0,20","90,00",12,"0,17","70,59",12,"0,08","150,00"
26,"0,28","92,86",27,"0,06","450,00",24,"0,25","96,00",24,"0,05","480,00",26,"0,31","83,87",27,"0,05","540,00",18,"0,30","60,00",17,"0,25","68,00",12,"0,21","57,14",13,"0,05","260,00"
26,"0,30","86,67",24,"0,06","400,00",26,"0,26","100,00",26,"0,07","371,43",24,"0,48","50,00",27,"0,05","540,00",17,"0,33","51,52",17,"0,13","130,77",12,"0,17","70,59",12,"0,05","240,00"
23,"0,24","95,83",27,"0,06","450,00",25,"0,25","100,00",24,"0,04","600,00",25,"0,45","55,56",27,"0,05","540,00",18,"0,33","54,55",18,"0,25","72,00",13,"0,27","48,15",13,"0,06","216,67"
26,"0,28","92,86",25,"0,05","500,00",26,"0,26","100,00",25,"0,05","500,00",25,"0,33","75,76",27,"0,05","540,00",17,"0,38","44,74",15,"0,21","71,43",12,"0,15","80,00",12,"0,06","200,00"
25,"0,28","89,29",27,"0,06","450,00",24,"0,25","96,00",25,"0,05","500,00",26,"0,32","81,25",25,"0,05","500,00",17,"0,41","41,46",16,"0,27","59,26",12,"0,19","63,16",13,"0,06","216,67"
26,"0,27","96,30",24,"0,05","480,00",25,"0,28","89,29",25,"0,04","625,00",25,"0,25","100,00",21,"0,04","525,00",15,"0,62","24,19",18,"0,20","90,00",10,"0,25","40,00",13,"0,05","260,00"
24,"0,26","92,31",27,"0,06","450,00",26,"0,26","100,00",27,"0,05","540,00",23,"0,22","104,55",26,"0,06","433,33",14,"0,66","21,21",17,"0,15","113,33",10,"0,14","71,43",12,"0,06","200,00"
25,"0,28","89,29",27,"0,06","450,00",25,"0,27","92,59",27,"0,05","540,00",26,"0,29","89,66",26,"0,06","433,33",14,"0,65","21,54",18,"0,22","81,82",13,"0,16","81,25",12,"0,11","109,09"
26,"0,28","92,86",26,"0,06","433,33",26,"0,26","100,00",25,"0,05","500,00",26,"0,28","92,86",26,"0,05","520,00",13,"0,77","16,88",17,"0,19","89,47",12,"0,22","54,55",12,"0,06","200,00"
24,"0,26","92,31",26,"0,05","520,00",23,"0,24","95,83",25,"0,05","500,00",23,"0,24","95,83",27,"0,05","540,00",16,"0,30","53,33",17,"0,19","89,47",12,"0,16","75,00",12,"0,07","171,43"
25,"0,26","96,15",26,"0,10","260,00",26,"0,29","89,66",27,"0,05","540,00",26,"0,31","83,87",25,"0,04","625,00",17,"0,35","48,57",18,"0,14","128,57",12,"0,16","75,00",11,"0,06","183,33"
26,"0,28","92,86",25,"0,06","416,67",26,"0,26","100,00",23,"0,03","766,67",24,"0,29","82,76",27,"0,04","675,00",18,"0,36","50,00",17,"0,12","141,67",12,"0,16","75,00",11,"0,05","220,00"
26,"0,34","76,47",27,"0,06","450,00",23,"0,24","95,83",26,"0,04","650,00",23,"0,30","76,67",26,"0,08","325,00",17,"0,31","54,84",18,"0,16","112,50",10,"0,14","71,43",13,"0,06","216,67"
26,"0,27","96,30",27,"0,06","450,00",26,"0,26","100,00",22,"0,04","550,00",25,"0,39","64,10",27,"0,05","540,00",17,"0,35","48,57",18,"0,12","150,00",12,"0,19","63,16",12,"0,06","200,00"
