rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - kyber512;ed25519 - X25519;ed25519 - P-256;ed25519 - kyber512;falcon512 - X25519;falcon512 - P-256;falcon512 - kyber512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - kyber512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - kyber512
675,00;500,00;625,00;540,00;433,33;416,67;625,00;500,00;675,00;192,31;141,18;208,33;375,00;233,33;325,00
833,33;675,00;900,00;540,00;540,00;540,00;650,00;385,71;675,00;185,71;171,43;192,31;375,00;250,00;320,00
675,00;520,00;1300,00;540,00;450,00;450,00;675,00;385,71;480,00;192,31;173,33;200,00;320,00;320,00;350,00
600,00;675,00;800,00;540,00;325,00;675,00;270,00;540,00;460,00;200,00;178,57;178,57;300,00;300,00;320,00
675,00;540,00;675,00;675,00;450,00;385,71;625,00;520,00;300,00;200,00;144,44;164,29;266,67;300,00;300,00
650,00;675,00;866,67;540,00;300,00;600,00;260,00;540,00;650,00;192,31;178,57;200,00;280,00;300,00;400,00
675,00;675,00;1000,00;540,00;450,00;540,00;675,00;480,00;540,00;185,71;184,62;200,00;400,00;266,67;300,00
900,00;650,00;900,00;600,00;450,00;245,45;540,00;337,50;575,00;200,00;171,43;208,33;350,00;300,00;175,00
675,00;675,00;450,00;540,00;480,00;675,00;540,00;540,00;833,33;192,31;185,71;185,71;375,00;300,00;300,00
900,00;800,00;800,00;540,00;450,00;540,00;675,00;625,00;520,00;185,71;173,33;200,00;228,57;250,00;250,00
833,33;675,00;540,00;540,00;450,00;480,00;900,00;433,33;900,00;185,71;185,71;178,57;300,00;185,71;266,67
625,00;540,00;625,00;450,00;450,00;675,00;625,00;450,00;675,00;176,92;185,71;200,00;300,00;280,00;375,00
675,00;675,00;833,33;675,00;520,00;675,00;385,71;540,00;900,00;185,71;166,67;191,67;320,00;250,00;266,67
1300,00;433,33;675,00;540,00;312,50;450,00;675,00;540,00;900,00;185,71;184,62;216,67;325,00;375,00;320,00
625,00;675,00;540,00;540,00;480,00;675,00;700,00;540,00;675,00;175,00;173,33;200,00;375,00;300,00;300,00
833,33;675,00;866,67;540,00;300,00;540,00;650,00;450,00;288,89;185,71;191,67;192,31;214,29;300,00;320,00
800,00;675,00;675,00;675,00;416,67;540,00;540,00;450,00;540,00;185,71;178,57;200,00;155,56;320,00;266,67
675,00;675,00;866,67;540,00;540,00;600,00;540,00;480,00;277,78;114,29;200,00;200,00;300,00;300,00;250,00
540,00;866,67;866,67;540,00;416,67;540,00;416,67;540,00;675,00;147,06;127,78;200,00;400,00;300,00;320,00
675,00;675,00;540,00;540,00;450,00;450,00;675,00;600,00;540,00;200,00;147,06;164,29;300,00;266,67;300,00
650,00;675,00;900,00;540,00;500,00;540,00;337,50;540,00;675,00;185,71;173,33;156,25;400,00;250,00;300,00
540,00;766,67;675,00;450,00;245,45;540,00;900,00;385,71;540,00;176,92;185,71;185,71;266,67;250,00;320,00
