Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec;Group 3 Connections;Time (s);Connections/User Sec;Group 4 Connections;Time (s);Connections/User Sec
2544;2,02;1259,41;1454;2,39;608,37;2107;1,96;1075;870;1,81;480,66
2552;1,99;1282,41;1216;2,39;508,79;2305;1,98;1164,14;1010;1,81;558,01
2013;2,2;915;1628;2,55;638,43;2119;2,07;1023,67;1083;1,83;591,8
1824;2,19;832,88;1644;2,58;637,21;2554;2,13;1199,06;857;1,8;476,11
2096;2,19;957,08;1184;2,48;477,42;2231;2,02;1104,46;974;1,96;496,94
2011;2,16;931,02;1545;2,51;615,54;2055;2,06;997,57;881;1,87;471,12
2112;2,17;973,27;1429;2,42;590,5;2114;2,01;1051,74;1136;1,84;617,39
2229;2,21;1008,6;1524;2,55;597,65;2264;1,94;1167,01;1161;1,85;627,57
2080;2,2;945,45;1500;2,48;604,84;2301;1,92;1198,44;1162;1,83;634,97
2393;2,1;1139,52;1561;2,53;617;2361;2,22;1063,51;1177;1,88;626,06
2226;2,18;1021,1;1464;2,52;580,95;2236;2,21;1011,76;1135;1,87;606,95
2140;2,13;1004,69;1257;2,47;508,91;1938;2,17;893,09;1090;1,85;589,19
1833;2,18;840,83;1440;2,53;569,17;1935;2,11;917,06;367;1,71;214,62
2233;2,15;1038,6;1398;2,5;559,2;2557;2,14;1194,86;537;1,84;291,85
1896;2,15;881,86;1438;2,5;575,2;2635;2,21;1192,31;621;1,75;354,86
2091;2,18;959,17;1505;2,51;599,6;2667;2,21;1206,79;1029;1,85;556,22
1767;2,21;799,55;1215;2,51;484,06;2677;2,19;1222,37;1045;1,94;538,66
2342;2,14;1094,39;1270;2,47;514,17;2680;2,26;1185,84;1195;1,91;625,65
2537;2,12;1196,7;1409;2,53;556,92;2656;2,24;1185,71;1002;1,75;572,57
2605;2,06;1264,56;1295;2,55;507,84;2476;2,2;1125,45;1178;1,86;633,33
2535;2,07;1224,64;1607;2,5;642,8;2242;2,05;1093,66;1244;1,83;679,78
2372;2,16;1098,15;1983;2,37;836,71;2594;1,96;1323,47;1229;1,85;664,32
2299;2,11;1089,57;1976;2,46;803,25;2315;1,98;1169,19;1193;1,88;634,57
2306;2,17;1062,67;1509;2,34;644,87;2261;1,98;1141,92;1167;1,88;620,74
2295;2,15;1067,44;1419;2,43;583,95;2266;2,02;1121,78;1100;1,86;591,4
2248;2,18;1031,19;1378;2,45;562,45;2258;2;1129;833;1,8;462,78
2250;2,19;1027,4;1932;2,4;805;2304;1,95;1181,54;1065;1,84;578,8
2414;2,14;1128,04;2036;2,45;831,02;2421;1,93;1254,4;1236;1,85;668,11
2374;2,16;1099,07;1585;2,37;668,78;2313;2,03;1139,41;1174;1,86;631,18
2271;2,2;1032,27;2123;2,35;903,4;2040;2,11;966,82;1252;1,83;684,15
1622;2,26;717,7;2207;2,27;972,25;1906;2,13;894,84;1251;1,82;687,36
1790;2,24;799,11;1851;2,34;791,03;1928;2,23;864,57;1258;1,86;676,34
1905;2,26;842,92;2149;2,39;899,16;842;1,96;429,59;1255;1,82;689,56
2072;2,19;946,12;1953;2,37;824,05;1041;2,04;510,29;1253;1,87;670,05
1991;2,17;917,51;1910;2,36;809,32;1301;2,28;570,61;1263;1,82;693,96
2073;2,16;959,72;2188;2,33;939,06;1849;2,19;844,29;1263;1,8;701,67
2090;2,21;945,7;1955;2,41;811,2;2023;2,16;936,57;1266;1,82;695,6
1906;2,21;862,44;2031;2,33;871,67;1806;2,14;843,93;1272;1,84;691,3
1962;2,23;879,82;2074;2,37;875,11;2117;2,05;1032,68;1249;1,81;690,06
1788;2,25;794,67;1868;2,37;788,19;2064;2,19;942,47;1260;1,79;703,91
1798;2,2;817,27;2272;2,29;992,14;1786;2,11;846,45;1268;1,79;708,38
1544;2,29;674,24;2201;2,32;948,71;2329;2,22;1049,1;1260;1,81;696,13
1494;2,28;655,26;1940;2,35;825,53;2027;2,17;934,1;1268;1,85;685,41
1795;2,28;787,28;1914;2,37;807,59;1914;2,18;877,98;1229;1,82;675,27
1444;2,31;625,11;2172;2,37;916,46;1754;2,22;790,09;1271;1,84;690,76
1642;2,3;713,91;2327;2,34;994,44;2051;2,14;958,41;1275;1,85;689,19
1521;2,3;661,3;1853;2,38;778,57;2314;2,17;1066,36;1273;1,83;695,63
1546;2,44;633,61;2232;2,32;962,07;2120;2,12;1000;1270;1,82;697,8
1248;2,3;542,61;2225;2,25;988,89;1606;2,17;740,09;1273;1,85;688,11
878;2,25;390,22;1938;2,39;810,88;1820;2,04;892,16;1258;1,83;687,43
878;2,25;390,22;1938;2,39;810,88;1820;2,04;892,16;1258;1,83;687,43
